cdn.opensignal.com | Payload 1 | REFUSED
cdn.opensignal.com | Payload 2 | REFUSED
cdn.opensignal.com | Payload 3 | REFUSED
cdn.opensignal.com | Payload 4 | REFUSED
www.speedtest.net | Payload 1 | FAIL
cdn.opensignal.com | Payload 5 | REFUSED
cdn.opensignal.com | Payload 6 | REFUSED
cdn.opensignal.com | Payload 7 | REFUSED
cdn.opensignal.com | Payload 8 | REFUSED
biz.unifi.com.my | Payload 1 | PASS
cdn.opensignal.com | Payload 9 | REFUSED
cdn.opensignal.com | Payload 10 | REFUSED
www.speedtest.net | Payload 2 | FAIL
cdn.opensignal.com | Payload 11 | REFUSED
cdn.opensignal.com | Payload 12 | REFUSED
cdn.opensignal.com | Payload 13 | REFUSED
biz.unifi.com.my | Payload 2 | PASS
www.speedtest.net | Payload 3 | FAIL
cdn.opensignal.com | Payload 14 | REFUSED
cdn.opensignal.com | Payload 15 | REFUSED
cdn.opensignal.com | Payload 16 | REFUSED
cdn.opensignal.com | Payload 17 | REFUSED
www.speedtest.net | Payload 4 | FAIL
cdn.opensignal.com | Payload 18 | REFUSED
cdn.opensignal.com | Payload 19 | REFUSED
cdn.opensignal.com | Payload 20 | REFUSED
www.speedtest.net | Payload 5 | FAIL
cdn.opensignal.com | Payload 21 | REFUSED
cdn.opensignal.com | Payload 22 | REFUSED
cdn.opensignal.com | Payload 23 | REFUSED
www.speedtest.net | Payload 6 | FAIL
cdn.opensignal.com | Payload 24 | REFUSED
cdn.opensignal.com | Payload 25 | REFUSED
api.useinsider.com | Payload 1 | REFUSED
api.useinsider.com | Payload 2 | REFUSED
api.useinsider.com | Payload 3 | REFUSED
www.speedtest.net | Payload 7 | PASS
api.useinsider.com | Payload 4 | REFUSED
api.useinsider.com | Payload 5 | REFUSED
api.useinsider.com | Payload 6 | REFUSED
www.speedtest.net | Payload 8 | FAIL
api.useinsider.com | Payload 7 | REFUSED
api.useinsider.com | Payload 8 | REFUSED
api.useinsider.com | Payload 9 | REFUSED
www.speedtest.net | Payload 9 | PASS
api.useinsider.com | Payload 10 | REFUSED
api.useinsider.com | Payload 11 | REFUSED
api.useinsider.com | Payload 12 | REFUSED
api.useinsider.com | Payload 13 | REFUSED
api.useinsider.com | Payload 14 | REFUSED
api.useinsider.com | Payload 15 | REFUSED
api.useinsider.com | Payload 16 | REFUSED
api.useinsider.com | Payload 17 | REFUSED
api.useinsider.com | Payload 18 | REFUSED
www.speedtest.net | Payload 10 | FAIL
api.useinsider.com | Payload 19 | REFUSED
api.useinsider.com | Payload 20 | REFUSED
api.useinsider.com | Payload 21 | REFUSED
www.speedtest.net | Payload 11 | FAIL
api.useinsider.com | Payload 22 | REFUSED
api.useinsider.com | Payload 23 | REFUSED
api.useinsider.com | Payload 24 | REFUSED
www.speedtest.net | Payload 12 | FAIL
api.useinsider.com | Payload 25 | REFUSED
www.speedtest.net | Payload 13 | FAIL
www.speedtest.net | Payload 14 | FAIL
www.speedtest.net | Payload 15 | FAIL
www.speedtest.net | Payload 16 | FAIL
www.speedtest.net | Payload 17 | FAIL
www.speedtest.net | Payload 18 | FAIL
www.speedtest.net | Payload 19 | PASS
www.speedtest.net | Payload 20 | PASS
www.speedtest.net | Payload 21 | FAIL
www.speedtest.net | Payload 22 | FAIL
www.speedtest.net | Payload 23 | FAIL
www.speedtest.net | Payload 24 | FAIL
www.speedtest.net | Payload 25 | FAIL
biz.unifi.com.my | Payload 3 | ERROR
biz.unifi.com.my | Payload 4 | PASS
biz.unifi.com.my | Payload 5 | FAIL
biz.unifi.com.my | Payload 6 | FAIL
biz.unifi.com.my | Payload 7 | FAIL
biz.unifi.com.my | Payload 8 | FAIL
biz.unifi.com.my | Payload 9 | FAIL
biz.unifi.com.my | Payload 10 | FAIL
biz.unifi.com.my | Payload 11 | FAIL
biz.unifi.com.my | Payload 12 | PASS
biz.unifi.com.my | Payload 13 | PASS
biz.unifi.com.my | Payload 14 | PASS
biz.unifi.com.my | Payload 15 | ERROR
biz.unifi.com.my | Payload 16 | FAIL
biz.unifi.com.my | Payload 17 | PASS
biz.unifi.com.my | Payload 18 | PASS
biz.unifi.com.my | Payload 19 | FAIL
biz.unifi.com.my | Payload 20 | PASS
biz.unifi.com.my | Payload 21 | FAIL
biz.unifi.com.my | Payload 22 | PASS
biz.unifi.com.my | Payload 23 | PASS
biz.unifi.com.my | Payload 24 | FAIL
biz.unifi.com.my | Payload 25 | FAIL
